user_id,age,city,score,plan
1,23.0,Seoul,3.2,Basic
2,31.0,Busan,4.1,Premium
3,27.0,Incheon,,Basic
4,,Seoul,2.8,Basic
5,45.0,Daegu,4.7,Premium
6,36.0,Daejeon,3.9,Standard
7,29.0,Seoul,3.5,
8,41.0,Busan,4.3,Premium
9,34.0,,3.1,Standard
10,26.0,Gwangju,2.9,Basic
11,38.0,Seoul,4.0,Standard
12,33.0,Incheon,,Standard
13,24.0,Busan,3.0,Basic
14,52.0,Daegu,4.8,Premium
15,47.0,Seoul,4.5,Premium
16,30.0,Daejeon,3.7,Standard
17,,Busan,3.4,Basic
18,28.0,Seoul,3.6,Standard
19,39.0,Gwangju,4.2,Premium
20,35.0,Incheon,3.8,Standard
21,22.0,Seoul,2.7,Basic
22,44.0,Busan,4.6,Premium
23,37.0,Daegu,3.9,
24,32.0,,3.3,Standard
25,40.0,Daejeon,4.1,Premium
26,25.0,Seoul,3.0,Basic
27,43.0,Busan,,Premium
28,29.0,Incheon,3.5,Standard
7,29.0,Seoul,3.5,
18,28.0,Seoul,3.6,Standard
